family,system,kind,kind_n,kernel,method,agg_bias_mean,agg_dist_mean,agg_spurious_mean,agg_trunc_mean,agg_bias_std,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,agg_horizon_instab,agg_horizon_sens,sc,vamp2,admissible_v2_fam,violations_v2_fam,rank_v2_fam,admissible_v2_pooled,violations_v2_pooled,rank_v2_pooled,admissible_v3_fam,violations_v3_fam,rank_v3_fam,admissible_v3_pooled,violations_v3_pooled,rank_v3_pooled,true_eig_err,agg_koopman_gap,score_noSSL_fam,score_noSSL_pooled,score_fam,score_pooled
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=8.569194291932899),Reduced Rank,58.10940082518519,38.43066758115197,0.1755391514126709,1.5120580641093135,,,,5.0,0.0001169633715215,0.0,-1.727908365884247,3.0000000000006537,True,,33,True,,101,True,,28,True,,94,,0.0178188530328278,1.4864244836589886,1.8430102500976528,-0.25318539455011757,1.5050177958670679
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=2.1662876412130823),Reduced Rank,35.29276047020184,52.51005080998959,0.1707077049595838,0.6721143843092168,,,,5.0,0.0,0.0,-1.520489342227246,3.000000000000428,True,,32,True,,98,True,,34,True,,95,,0.020311870089841,1.0208819959513071,1.7854207262143342,0.7016308097778684,1.54110196746502
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.792398071615345),Reduced Rank,9.18031575816593,49.12141271181606,0.1445480346877401,0.1868903040721714,,,,5.0,0.000313696232472,0.0,-1.4909208742000637,3.000000000000473,True,,35,True,,92,True,,35,True,,89,,0.0194070786594861,2.270445804287086,1.3398374604632495,2.0465958028964755,1.1088722872287933
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=5.7870582985309715),Reduced Rank,449.3908995756018,54.45992000630994,0.1159126870602862,8.251773038291894,,,,4.0,0.0001034043959639,0.0,-1.675712583559733,3.0000000000004707,True,,34,True,,84,True,,33,True,,82,,0.0274046229601181,2.6007720200958557,0.8570252020450112,1.394045178842076,0.5426051845788629
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=1.2070035515837005),Reduced Rank,252.3092581189315,59.19865093010636,0.1737111517609577,4.262077837159223,,,,5.0,2.5196355136181124e-05,0.0,-1.4333777756891373,3.000000000000911,True,,36,True,,103,True,,38,True,,99,,0.0031684075103629,2.234458758946923,2.1457021772889857,1.7088248175373675,1.9407243729652284
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=2.9695641943724493),Reduced Rank,194.77844426039,59.24630403160002,0.185550531353106,3.2876049813419854,,,,5.0,9.38477599958798e-05,0.0,-1.5713549069742252,3.0000000000005005,True,,37,True,,104,True,,40,True,,98,,0.0256342316032313,4.341816689929286,2.237297060360513,3.6505254328531325,1.9700066120400739
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=17.138388583865797),Reduced Rank,141.7725584847682,46.62844716555087,0.2309025638001494,3.040473511404212,,,,5.0,0.0001522383412052,0.0,-1.7969198628763758,3.0000000000005262,True,,38,True,,107,True,,36,True,,101,,0.0182094877576337,4.19862979920501,2.4444754583116315,2.2680148224671997,2.0753163259242684
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=3.0039977600636854),Reduced Rank,69.23494154278944,52.73798940605684,0.2270926522309322,1.3128096524445425,,,,5.0,0.0002399820330452,0.0,-1.573229811409293,3.000000000000376,True,,40,True,,105,True,,43,True,,100,,0.0189864390046522,4.860953950342558,2.3146472694568407,4.33254560334379,2.046510084786052
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=4.3325752824261645),Reduced Rank,196.53272139388795,52.58981364059724,0.2251492248583374,3.737087237787291,,,,5.0,0.0001272651261871,0.0,-1.6320315897997633,3.000000000000904,True,,39,True,,108,True,,37,True,,103,,0.0218643806332782,4.745769795126618,2.4937718331188883,3.1694716781672283,2.199078839893635
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=3.58479614323069),Reduced Rank,51.79748119431852,48.83790501011034,0.1687372533492873,1.0605999824029202,,,,5.0,0.0003533383892567,0.0,-1.6018843949014263,3.0000000000004725,True,,41,True,,99,True,,42,True,,96,,0.0189468755089049,4.457521484090525,1.8246400269749299,3.6422383055734056,1.543561981428067
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=7.16959228646138),Reduced Rank,161.39192274744454,60.159165355315295,0.1516829920190936,2.682748701618829,,,,5.0,0.000236537363979,0.0,-1.7053441785980894,3.000000000000685,True,,44,True,,102,True,,41,True,,97,,0.0184692735338722,4.590049635761864,1.9452706610097192,2.9276103118429972,1.6174685488767384
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=3.38028374882113),Reduced Rank,319.41530720066584,56.54096017225865,0.2032172494709194,5.64927277901772,,,,5.0,0.0001826633962346,0.0,-1.5923934642608213,3.0000000000004303,True,,43,True,,106,True,,44,True,,102,,0.0211556646495675,5.4952245699643765,2.435284100762171,4.789238593683109,2.1584923088626002
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=2.414007103167401),Reduced Rank,499.7217416206053,52.18233831893796,0.2042741259926804,9.576453599421145,,,,5.0,0.0001625010239874,0.0,-1.5377948999492628,3.000000000000421,True,,45,True,,109,True,,46,True,,104,,0.0022029136788772,4.211532756691482,2.463731595980979,3.809826255294948,2.2115973750064555
rbf,duffing,omega=0.8,omega=0.8,rbf(gamma=5.939128388744899),Reduced Rank,368.0904199260592,51.860059491229926,0.2669929886646214,7.097763163736962,,,,5.0,0.0001353812651478,0.0,-1.6794366376511662,3.00000000000078,True,,46,True,,113,True,,45,True,,109,,0.0152612239749251,5.610928765517194,2.8921067975788795,3.9545855235408833,2.5760049386749455
