system,kind,family,kernel,sc,vamp2
duffing,omega=0.5,rbf,rbf(gamma=17.572174038689706),-1.6898009546856894,3.000000000000659
duffing,omega=0.5,rbf,rbf(gamma=17.883954267725535),-1.6928089290937305,3.000000000000808
duffing,omega=0.5,rbf,rbf(gamma=18.11128743414581),-1.694950748293319,3.000000000000586
duffing,omega=0.5,rbf,rbf(gamma=18.30713347181358),-1.6967622611979138,3.000000000000528
duffing,omega=0.5,rbf,rbf(gamma=18.81890111365846),-1.701354862577862,3.000000000000579
duffing,omega=0.5,rbf,rbf(gamma=2.021269762250631),-1.2202673877133312,3.0000000000004476
duffing,omega=0.5,rbf,rbf(gamma=2.0364102164281994),-1.2215707140519576,3.000000000000504
duffing,omega=0.5,rbf,rbf(gamma=2.0689828508934696),-1.2243603846968631,3.0000000000004223
duffing,omega=0.5,rbf,rbf(gamma=2.0705224568374176),-1.2244917639508557,3.0000000000003646
duffing,omega=0.5,rbf,rbf(gamma=2.099469664799319),-1.2269539028762673,3.000000000000421
duffing,omega=0.5,rbf,rbf(gamma=2.1123216061678978),-1.2280421807115325,3.000000000000515
duffing,omega=0.5,rbf,rbf(gamma=2.119967526772622),-1.2286882113991975,3.0000000000005556
duffing,omega=0.5,rbf,rbf(gamma=2.1291152165820306),-1.2294597522542505,3.000000000000467
duffing,omega=0.5,rbf,rbf(gamma=2.1422985729832247),-1.2305690355371006,3.000000000000558
duffing,omega=0.5,rbf,rbf(gamma=2.1662876412130823),-1.2325795880487431,3.0000000000006657
duffing,omega=0.5,rbf,rbf(gamma=2.1965217548362133),-1.2350990143432192,3.000000000000702
duffing,omega=0.5,rbf,rbf(gamma=2.235494283465692),-1.2383229128747502,3.0000000000005276
duffing,omega=0.5,rbf,rbf(gamma=2.2390027489047712),-1.2386118400311619,3.000000000000618
duffing,omega=0.5,rbf,rbf(gamma=2.246269483583015),-1.2392095854850587,3.000000000000471
duffing,omega=0.5,rbf,rbf(gamma=2.263502171870256),-1.2406234479194453,3.0000000000003495
duffing,omega=0.5,rbf,rbf(gamma=2.2639109292682265),-1.2406569221987922,3.0000000000003966
duffing,omega=0.5,rbf,rbf(gamma=2.2883916839766973),-1.242656468713321,3.000000000000418
duffing,omega=0.5,rbf,rbf(gamma=2.3249622667705054),-1.245624359239301,3.000000000000449
duffing,omega=0.5,rbf,rbf(gamma=2.347769937362568),-1.2474638011671733,3.000000000000418
duffing,omega=0.5,rbf,rbf(gamma=2.3523626392073074),-1.2478331391704705,3.0000000000004725
duffing,omega=0.5,rbf,rbf(gamma=2.355903826681873),-1.2481176731373191,3.0000000000003766
duffing,omega=0.5,rbf,rbf(gamma=2.4010212274847227),-1.2517244280718123,3.0000000000005316
duffing,omega=0.5,rbf,rbf(gamma=2.413870694664763),-1.252745418493755,3.0000000000003624
duffing,omega=0.5,rbf,rbf(gamma=2.414007103167401),-1.2527562425081873,3.0000000000004583
duffing,omega=0.5,rbf,rbf(gamma=2.4201410688473386),-1.2532426539226933,3.000000000000492
duffing,omega=0.5,rbf,rbf(gamma=2.4205910689274073),-1.253278313505165,3.000000000000412
duffing,omega=0.5,rbf,rbf(gamma=2.5150959211654493),-1.2606935565032427,3.0000000000004596
duffing,omega=0.5,rbf,rbf(gamma=2.5526694076203773),-1.2636014779323752,3.0000000000005667
