kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(good),omega=1.5,Principal Components (kDMD),7,,3,7.081601886127498e-05,5
hermite(bad),omega=1.5,Principal Components (kDMD),7,,3,7.105844389443394e-05,5
hermite(ugly),omega=1.5,Principal Components (kDMD),7,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),8,,4,0.002041599455409271,5
hermite(bad),omega=1.5,Principal Components (kDMD),8,,4,0.002076723787449719,5
hermite(ugly),omega=1.5,Principal Components (kDMD),8,,1,,1
hermite(good),omega=1.5,Principal Components (kDMD),9,,4,6.0893136989204066e-05,5
hermite(bad),omega=1.5,Principal Components (kDMD),9,,4,6.320908113610635e-05,5
hermite(ugly),omega=1.5,Principal Components (kDMD),9,,1,,1
hermite(good),omega=1.5,Reduced Rank,0,,4,2.217754364662291,5
hermite(bad),omega=1.5,Reduced Rank,0,,3,0.00012671096816185834,5
hermite(ugly),omega=1.5,Reduced Rank,0,,4,4.824911065339637,5
hermite(good),omega=1.5,Reduced Rank,1,,5,0.6743986479252972,5
hermite(bad),omega=1.5,Reduced Rank,1,,5,0.868780039439061,5
hermite(ugly),omega=1.5,Reduced Rank,1,,3,2.9371797116314244,3
hermite(good),omega=1.5,Reduced Rank,2,,3,2.1313738237438207,5
hermite(bad),omega=1.5,Reduced Rank,2,,3,0.00013460605050585883,5
hermite(ugly),omega=1.5,Reduced Rank,2,,4,3.602382419807161,5
hermite(good),omega=1.5,Reduced Rank,3,,4,2.500588522608015,5
hermite(bad),omega=1.5,Reduced Rank,3,,5,0.8777925176440271,5
hermite(ugly),omega=1.5,Reduced Rank,3,,5,4.745750713816801,5
hermite(good),omega=1.5,Reduced Rank,4,,3,2.5036138522690465,5
hermite(bad),omega=1.5,Reduced Rank,4,,4,0.3803877862894547,5
hermite(ugly),omega=1.5,Reduced Rank,4,,2,4.439507490869733,5
hermite(good),omega=1.5,Reduced Rank,5,,3,2.290988968283582,5
hermite(bad),omega=1.5,Reduced Rank,5,,3,5.4356091677254526e-05,5
hermite(ugly),omega=1.5,Reduced Rank,5,,3,5.0276518498429805,5
hermite(good),omega=1.5,Reduced Rank,6,,2,2.263256300572814,5
hermite(bad),omega=1.5,Reduced Rank,6,,5,0.43337932181411065,5
hermite(ugly),omega=1.5,Reduced Rank,6,,2,5.07399518588768,5
hermite(good),omega=1.5,Reduced Rank,7,,4,0.9859114929397834,5
hermite(bad),omega=1.5,Reduced Rank,7,,0,7.818464868303288e-05,5
hermite(ugly),omega=1.5,Reduced Rank,7,,2,3.1620876491875345,4
hermite(good),omega=1.5,Reduced Rank,8,,2,2.488287827524559,5
hermite(bad),omega=1.5,Reduced Rank,8,,4,1.3979950898186637,5
hermite(ugly),omega=1.5,Reduced Rank,8,,1,3.9548828312812545,4
hermite(good),omega=1.5,Reduced Rank,9,,3,0.5606436206279276,5
hermite(bad),omega=1.5,Reduced Rank,9,,2,9.98011768834628e-05,5
hermite(ugly),omega=1.5,Reduced Rank,9,,3,2.9910186205251756,3
hermite(good),omega=2.0,Principal Components (kDMD),0,,4,0.0010281840641485074,5
hermite(bad),omega=2.0,Principal Components (kDMD),0,,0,0.0010446018953357283,5
hermite(ugly),omega=2.0,Principal Components (kDMD),0,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),1,,4,0.0011959458797240474,5
hermite(bad),omega=2.0,Principal Components (kDMD),1,,3,0.0011961604747204868,5
hermite(ugly),omega=2.0,Principal Components (kDMD),1,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),2,,3,0.0015002836158081179,5
hermite(bad),omega=2.0,Principal Components (kDMD),2,,3,0.001444882668597658,5
hermite(ugly),omega=2.0,Principal Components (kDMD),2,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),3,,4,0.0012298526215774874,5
