kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank
rbf(gamma=3.499),1.75,Principal Components (kDMD),3.0,1.0,0.07408286970517111,,9.418796408761803,0.007865428499575144,0.4247488513667073,,3.2,4.4,0.052773892869389646,0.004121827241355676,5.0
rbf(gamma=3.499),1.75,Reduced Rank,3.0,1.0,14.351713617173028,,37.07340721324627,0.3871161216615986,0.36423638870859876,,3.0,4.2,0.04928013034703645,0.0006495079127645377,5.0
rbf(gamma=3.867),1.934,Principal Components (kDMD),3.0,1.0,0.08577333280684335,,9.59302418630267,0.008941219279871532,0.42692739160904014,,3.2,4.6,0.051916424010114,0.005415540908408405,5.0
rbf(gamma=3.867),1.934,Reduced Rank,3.0,1.0,16.4103865082285,,43.71444112250123,0.3753996639746938,0.3613561577919903,,3.0,4.2,0.04760753092780625,0.0004092358558832177,5.0
rbf(gamma=6.027),1.507,Principal Components (kDMD),3.0,1.0,0.23866675742379168,,9.427098064729536,0.02531709713689491,0.4536814531013444,,3.0,4.4,0.04266109950393593,0.0038230389411578903,5.0
rbf(gamma=6.027),1.507,Reduced Rank,3.0,1.0,71.74761660823398,,38.55365968016049,1.8609807007544585,0.3567448516260731,,3.0,4.0,0.039794940349456076,0.000615638196371572,5.0
rbf(gamma=6.334),1.583,Principal Components (kDMD),3.0,1.0,0.23810018978163044,,9.429419168481854,0.02525078008807671,0.4718664041896655,,3.0,4.4,0.04588468938772132,0.00396801995859047,5.0
rbf(gamma=6.334),1.583,Reduced Rank,3.0,1.0,126.98464995719493,,52.98323436409194,2.3966949447551205,0.36837502620340573,,3.0,4.0,0.04045574743094225,0.001756687015116524,5.0
rbf(gamma=6.361),1.59,Principal Components (kDMD),3.0,1.0,0.23304685072128478,,9.392855974535056,0.024811074645783707,0.4567379914199581,,3.0,4.4,0.040930883345472145,0.003495017837001824,5.0
rbf(gamma=6.361),1.59,Reduced Rank,3.0,1.0,151.48758829275596,,41.10936911106603,3.684989372701848,0.35716816975038546,,3.0,4.2,0.036934837487608375,0.0009021552983676031,5.0
rbf(gamma=6.385),1.596,Principal Components (kDMD),3.0,1.0,0.24162743082488225,,9.436580567187614,0.0256054011412838,0.4666294584110558,,3.0,4.4,0.04684209985718109,0.004147144508263025,5.0
rbf(gamma=6.385),1.596,Reduced Rank,3.0,1.0,67.34992338717895,,36.920750007982676,1.8241753857280025,0.40892270276180787,,3.0,4.2,0.04193479696533835,0.001649940514268489,5.0
rbf(gamma=6.531),1.633,Principal Components (kDMD),3.0,1.0,0.24032698766747407,,9.394885430611799,0.025580619310631006,0.4736154168495974,,3.0,4.4,0.05069996151890497,0.004303243944217356,5.0
rbf(gamma=6.531),1.633,Reduced Rank,3.0,1.0,128.8190538382845,,43.11964655776603,2.987479353888249,0.3874226304945145,,3.0,4.2,0.045453575456505524,0.0014581052358916278,5.0
rbf(gamma=6.739),1.685,Principal Components (kDMD),3.0,1.0,0.2562155009669285,,9.484738891412961,0.027013448013723813,0.4777411361733491,,3.0,4.4,0.043875041650395886,0.004002981034362787,5.0
rbf(gamma=6.739),1.685,Reduced Rank,3.0,1.0,291.87106755535996,,42.23608395434183,6.9104670752828135,0.3747653813124968,,3.0,4.0,0.03980830484061837,0.0009506507097505917,5.0
rbf(gamma=6.743),1.686,Principal Components (kDMD),3.0,1.0,0.25474658324988186,,9.498985880607314,0.026818292652688383,0.4699855526230456,,3.0,4.4,0.050048732535855865,0.004644464517689822,5.0
